param x_init :=
1	1      -0.10890604
1	2       0.85395078
1	3      -0.45461680
2	1       0.49883922
2	2      -0.18439316
2	3      -0.04798594
3	1       0.28262888
3	2      -0.48054070
3	3       0.46715332
4	1      -0.00580106
4	2      -0.49987584
4	3      -0.44130302
5	1       0.81712540
5	2      -0.36874258
5	3      -0.68321896
6	1       0.29642426
6	2       0.82315508
6	3       0.35938150
7	1       0.09215152
7	2      -0.53564686
7	3       0.00191436
8	1       0.11700318
8	2       0.96722760
8	3      -0.14916438
9	1       0.01791524
9	2       0.17759446
9	3      -0.61875872
10	1     -0.63833630
10	2      0.80830972
10	3      0.45846734
11	1      0.28446456
11	2      0.45686938
11	3      0.16368980
12	1      0.76557382
12	2      0.16700944
12	3     -0.31647534
;
