#Expected value data

set TYPES := J1 J2 J3 J4 ;

set ROUTES := R1 R2 R3 R4 R5 ;

set SCENARIOS := U1	U2	U3	U4	U5	U6	U7	U8	U9	U10	U11	U12	U13	U14	U15	U16	U17	U18	U19	U20	U21	U22	U23	U24	U25	U26	U27	U28	U29	U30	U31	U32	U33	U34	U35	U36	U37	U38	U39	U40	U41	U42	U43	U44	U45	U46	U47	U48	U49	U50	U51	U52	U53	U54	U55	U56	U57	U58	U59	U60	U61	U62	U63	U64	U65	U66	U67	U68	U69	U70	U71	U72	U73	U74	U75	U76	U77	U78	U79	U80	U81	U82	U83	U84	U85	U86	U87	U88	U89	U90	U91	U92	U93	U94	U95	U96	U97	U98	U99	U100 ;


#Data_deterministic

param C : 
        R1     R2      R3      R4      R5 :=
J1      18     21      18      16      10
J2      0      15      16      14      9
J3      0      10      0       9       6
J4      17     16      17      15      10 ;

param Q :=
R1 13
R2 13
R3 7
R4 7
R5 1 ;

param K :
        R1     R2      R3      R4      R5 :=
J1      16     15      28      23      81
J2      0      10      14      15      57
J3      0       5      0       7       29
J4      9      11      22      17      55 ;

param B :=
J1 10
J2 19
J3 25
J4 15 ;

param Zbounds :																																																																																																				
	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10	U11	U12	U13	U14	U15	U16	U17	U18	U19	U20	U21	U22	U23	U24	U25	U26	U27	U28	U29	U30	U31	U32	U33	U34	U35	U36	U37	U38	U39	U40	U41	U42	U43	U44	U45	U46	U47	U48	U49	U50	U51	U52	U53	U54	U55	U56	U57	U58	U59	U60	U61	U62	U63	U64	U65	U66	U67	U68	U69	U70	U71	U72	U73	U74	U75	U76	U77	U78	U79	U80	U81	U82	U83	U84	U85	U86	U87	U88	U89	U90	U91	U92	U93	U94	U95	U96	U97	U98	U99	U100 :=
R1	200	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010
R2	50	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010	1.010
R3	140	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808	0.808
R4	10	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333	3.333
R5	580	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404	0.404 ;
																																																																																																				
param D :																																																																																																				
	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10	U11	U12	U13	U14	U15	U16	U17	U18	U19	U20	U21	U22	U23	U24	U25	U26	U27	U28	U29	U30	U31	U32	U33	U34	U35	U36	U37	U38	U39	U40	U41	U42	U43	U44	U45	U46	U47	U48	U49	U50	U51	U52	U53	U54	U55	U56	U57	U58	U59	U60	U61	U62	U63	U64	U65	U66	U67	U68	U69	U70	U71	U72	U73	U74	U75	U76	U77	U78	U79	U80	U81	U82	U83	U84	U85	U86	U87	U88	U89	U90	U91	U92	U93	U94	U95	U96	U97	U98	U99	U100 :=
R1	200	201.010	202.020	203.030	204.040	205.051	206.061	207.071	208.081	209.091	210.101	211.111	212.121	213.131	214.141	215.152	216.162	217.172	218.182	219.192	220.202	221.212	222.222	223.232	224.242	225.253	226.263	227.273	228.283	229.293	230.303	231.313	232.323	233.333	234.343	235.354	236.364	237.374	238.384	239.394	240.404	241.414	242.424	243.434	244.444	245.455	246.465	247.475	248.485	249.495	250.505	251.515	252.525	253.535	254.545	255.556	256.566	257.576	258.586	259.596	260.606	261.616	262.626	263.636	264.646	265.657	266.667	267.677	268.687	269.697	270.707	271.717	272.727	273.737	274.747	275.758	276.768	277.778	278.788	279.798	280.808	281.818	282.828	283.838	284.848	285.859	286.869	287.879	288.889	289.899	290.909	291.919	292.929	293.939	294.949	295.960	296.970	297.980	298.990	300.000
